label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
assault,6,-77,10.0,10.2956,10.8167,10.2956,9.4868,10.7703,9.8489,10.4403,10.7703,8.9443,10.7703,8.544,9.4868,8.544,9.8489,9.4868,8.544,8.9443,9.2195,9.4868,8.9443,8.0623,7.6158,8.0623,8.9443,8.9443,0.0,9.434,8.6023,8.9443,9.434,9.434,9.434,10.0,9.2195,9.2195,9.2195,9.8995,9.8995,10.6301,11.3137,11.3137,12.7279,12.2066,12.7279,12.0416,13.4536,13.4536,12.0416
assault,6,-79,9.4868,9.2195,10.198,9.4868,8.2462,8.0623,7.0711,7.0711,7.0711,7.2801,7.0711,6.0828,6.0,7.0711,7.0711,5.099,6.3246,6.0828,7.6158,7.0711,5.3852,5.831,7.2111,7.6158,5.831,5.831,0.0,7.2111,7.2111,7.8102,7.8102,7.0711,7.8102,8.4853,9.2195,8.4853,9.2195,9.8995,9.8995,10.6301,11.4018,10.6301,11.4018,11.4018,12.8062,12.0416,12.2066,12.0416,14.2127
assault,6,-76,8.6023,8.0623,10.0,10.2956,10.7703,8.9443,8.544,9.8489,8.9443,9.8489,8.2462,9.4868,9.4868,9.4868,8.544,8.2462,8.544,8.9443,9.4868,8.2462,8.544,9.4868,9.4868,9.4868,9.8489,8.9443,0.0,9.4868,9.8489,8.9443,9.8489,8.9443,10.7703,9.8489,10.2956,9.8489,11.7047,11.1803,11.6619,10.2956,12.53,12.2066,12.8062,13.0,13.0384,12.083,13.0384,12.53,13.0
assault,6,-76,10.0499,10.198,11.0454,10.0499,10.0499,9.0,10.0,9.0,11.0,10.0,11.0454,10.0,9.0554,10.0499,10.0499,10.0499,9.0554,9.0554,10.0,10.0,10.0,10.0499,10.0,10.0,11.0,10.0,0.0,10.0,11.0454,10.0,11.0454,11.0,11.0454,11.0454,11.0454,12.0416,13.3417,13.1529,12.1655,12.1655,12.1655,13.1529,13.1529,15.0333,14.1421,13.3417,14.3178,14.1421,15.2971
assault,6,-72,22.1359,20.2485,22.1359,20.6155,20.6155,18.2483,18.6815,17.1172,16.2788,15.2971,19.2354,17.4642,19.2354,16.7631,14.5602,16.1555,15.2315,14.3178,14.3178,14.8661,14.8661,15.6525,14.3178,16.5529,18.3576,17.4642,0.0,18.6011,20.2485,20.0,22.0227,19.799,20.6155,20.6155,21.4009,23.3452,23.7065,26.6271,23.6008,24.7588,25.0,25.6125,29.4109,30.6105,29.2062,28.6007,28.3196,32.2025,31.241
assault,6,-79,14.8661,14.5602,13.0384,8.544,12.3693,14.5602,11.7047,12.53,12.6491,9.2195,14.4222,9.4868,12.083,7.6158,12.53,7.6158,8.544,5.0,10.2956,10.7703,8.544,3.1623,7.6158,6.7082,7.0711,7.8102,0.0,6.3246,11.4018,8.4853,8.4853,9.2195,4.1231,10.0,7.0,7.6158,7.0,11.1803,10.0,9.2195,8.9443,10.0,8.9443,11.1803,8.544,9.2195,10.7703,8.6023,13.0384
assault,6,-81,9.2195,11.1803,9.4868,9.8489,10.4403,8.9443,8.544,7.6158,8.9443,8.6023,8.9443,8.0623,6.7082,8.544,6.4031,7.8102,8.0623,5.0,6.7082,6.3246,5.3852,5.831,6.7082,5.0,5.3852,4.4721,0.0,5.099,5.099,4.1231,5.099,5.099,4.1231,5.0,4.1231,4.0,5.099,5.099,4.1231,6.3246,5.831,6.4031,6.4031,7.2111,7.0711,7.0711,7.0711,9.2195,7.2111
assault,6,-74,27.5136,25.2982,30.6757,30.0832,26.0,25.4951,26.8328,23.7065,26.0768,24.6982,26.4008,26.0768,25.807,26.4008,22.2036,27.8029,25.0,22.2036,22.0227,21.2132,19.105,22.6716,20.5183,21.9317,21.9317,22.6274,0.0,19.8494,19.2094,21.4009,20.5913,18.868,21.095,20.8087,20.2485,18.9737,17.2047,21.095,17.8885,20.6155,21.0238,21.4709,24.6982,25.2982,23.0868,23.7697,24.7386,26.6833,27.8927
assault,6,-77,15.2643,15.0,15.6205,14.8661,14.2127,14.8661,14.8661,14.1421,12.8062,13.4536,14.2127,14.2127,14.2127,13.8924,14.2127,13.6015,14.2127,12.8062,12.8062,13.0384,13.8924,13.4164,12.53,12.53,12.2066,12.2066,0.0,12.53,11.6619,12.2066,10.8167,10.8167,10.2956,11.6619,10.8167,10.8167,10.6301,10.6301,9.8995,10.6301,10.6301,9.8995,9.8995,11.3137,10.6301,11.6619,10.0,10.8167,10.2956
assault,6,-76,13.0,12.6491,12.083,13.3417,12.3693,13.1529,12.1655,11.0454,11.0454,11.0454,12.0416,11.0,11.0,11.0,10.0499,10.0,10.0,10.0,10.0499,10.0,10.0,11.0454,9.0,10.0,10.0499,10.0,0.0,9.0,9.0,10.0499,9.0554,10.0499,9.2195,10.198,10.198,10.4403,9.4868,11.1803,9.4868,9.4868,10.4403,10.4403,11.7047,11.7047,12.083,12.083,9.8489,12.083,12.083
