label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
fall,6,-82,16.4924,16.4924,15.5242,18.0278,17.8885,15.6525,16.1555,17.4642,15.2315,18.7883,16.5529,16.1245,15.8114,15.2315,18.3848,14.7648,13.9284,15.2315,14.3178,16.7631,14.3178,15.5242,14.8661,14.5602,13.9284,12.6491,0.0,14.1421,12.3693,13.3417,11.4018,12.3693,13.3417,11.0,9.2195,9.0554,9.2195,11.0454,9.0554,9.0,8.2462,7.0,9.0554,6.0828,7.6158,8.0623,5.3852,6.7082,4.1231
fall,6,-77,19.4165,19.2354,20.1246,21.0238,19.7231,20.2485,21.5407,21.1896,20.6155,18.9737,22.3607,19.6469,23.5372,21.587,21.3776,22.561,21.587,18.9737,19.2354,19.6469,19.4165,17.72,17.1172,19.2354,20.2237,18.4391,0.0,16.2788,17.088,18.4391,16.1555,16.4924,14.8661,15.8114,15.2315,13.9284,13.9284,14.5602,15.2643,12.8062,14.2127,12.2066,13.0384,12.0416,11.4018,10.2956,10.0,12.2066,9.2195
fall,6,-78,14.5602,14.3178,15.2971,17.2627,16.0,16.0,15.0,14.0357,16.0,16.0312,17.0294,16.1245,16.0312,15.0333,15.1327,15.1327,14.0357,13.1529,14.1421,14.3178,15.1327,12.3693,11.1803,11.4018,12.1655,14.1421,0.0,13.1529,11.0,12.0,11.0454,11.0,11.0,10.0499,10.198,9.0554,8.0623,9.2195,9.0554,9.2195,10.4403,10.198,8.544,10.7703,9.8489,9.434,8.0623,8.6023,8.0623
fall,6,-74,17.72,17.72,19.6469,19.4165,18.2483,19.2354,19.2354,17.1172,18.0278,19.0,19.0263,19.0263,19.105,19.0263,18.1108,19.105,18.0278,16.0312,18.1108,16.0312,16.2788,15.1327,14.1421,16.2788,16.2788,16.0312,0.0,16.0312,15.1327,16.0312,14.0357,13.1529,15.0,15.0333,14.0357,14.0357,14.3178,13.1529,13.3417,14.3178,15.2971,13.6015,14.3178,14.3178,14.5602,13.6015,13.0,13.6015,13.0
fall,6,-77,14.2127,14.8661,14.2127,14.8661,15.8114,15.2643,13.0384,14.2127,14.4222,14.4222,14.7648,13.8924,13.9284,13.4164,14.3178,13.4164,13.4164,13.4164,13.0,13.0,10.7703,13.0,11.1803,12.083,11.7047,13.0,0.0,12.083,10.2956,11.6619,11.1803,10.8167,11.1803,11.6619,11.4018,11.4018,10.6301,10.6301,10.0,9.8995,10.6301,9.8995,10.8167,11.4018,11.6619,11.4018,12.2066,13.0384,11.6619
fall,6,-80,15.2315,14.7648,16.5529,16.5529,17.8885,16.1245,17.4929,16.2788,14.4222,15.8114,14.2127,14.2127,14.2127,15.0,15.5563,13.6015,13.6015,13.0384,12.2066,12.0416,12.8062,12.8062,8.4853,10.0,10.0,8.9443,0.0,10.7703,9.434,9.434,7.6158,8.2462,8.544,7.2801,7.6158,8.9443,8.2462,6.0828,7.2801,9.0554,7.0711,6.0,7.2801,8.0,8.544,10.4403,8.9443,8.2462,8.9443
fall,6,-78,20.6155,19.8494,20.5183,19.105,19.799,19.2094,19.2094,18.4391,20.0,16.6433,17.8045,19.7231,19.2094,17.0,16.1245,17.0294,16.6433,13.6015,13.9284,17.0,13.8924,16.1245,13.4164,14.3178,14.7648,15.8114,0.0,12.2066,12.7279,13.6015,14.2127,12.0416,12.0416,11.4018,12.8062,12.7279,12.2066,13.4164,12.8062,13.0384,14.7648,13.0384,15.2315,13.8924,14.7648,15.2315,13.6015,15.2315,15.8114
fall,6,-73,25.0,25.807,25.6125,27.0185,25.4558,25.4951,26.2488,24.2074,22.8035,23.6008,25.0,23.6008,23.6008,22.2036,22.2036,24.6982,21.9545,19.4165,21.6333,20.2485,21.095,18.0278,17.0,20.8087,19.2354,19.4165,0.0,16.6433,16.4012,18.4391,15.6205,17.2047,16.2788,16.2788,14.8661,14.2127,14.2127,15.0,14.4222,14.4222,14.4222,14.7648,15.6525,14.7648,15.2315,14.8661,13.6015,14.8661,14.5602
fall,6,-72,19.2354,20.2485,20.6155,21.2603,20.0,21.2603,21.2603,19.799,21.2132,19.799,20.5183,21.2132,19.8494,19.105,19.2094,19.8494,19.2094,19.2094,18.6011,17.8045,17.2047,17.2047,15.0,16.4012,17.8045,16.4012,0.0,15.6205,14.8661,15.6205,14.1421,14.2127,14.1421,14.1421,12.7279,14.2127,13.0384,14.4222,12.2066,13.8924,12.53,12.53,13.4164,12.083,11.7047,12.6491,11.4018,11.4018,11.7047
fall,6,-72,24.6982,25.5539,24.1661,25.4951,25.632,25.0799,24.6982,23.4094,24.3516,23.7697,23.0868,24.7386,25.7099,23.5372,23.5372,22.561,22.8035,20.6155,21.587,21.587,20.3961,19.6469,18.6815,20.3961,19.4165,18.6815,0.0,18.6815,18.0278,18.9737,17.088,18.0278,16.5529,17.4642,14.8661,16.1245,16.6433,15.8114,15.6525,14.4222,15.8114,15.8114,15.0,14.2127,14.8661,14.1421,14.1421,13.4536,13.4536
