label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
fall,6,-69,20.1246,20.1246,21.5407,20.6155,19.9249,20.6155,19.9249,18.9737,20.8806,19.6469,20.6155,20.6155,20.3961,19.4165,18.4391,18.4391,18.4391,17.4642,17.4642,17.4642,17.2627,16.2788,15.5242,16.4924,17.4642,16.2788,0.0,16.1555,14.8661,15.8114,15.8114,14.8661,14.5602,14.3178,13.9284,14.7648,15.2643,15.2643,14.4222,15.0,15.2643,14.4222,15.6205,15.8114,15.5563,15.6205,15.5563,17.0294,15.6205
fall,6,-70,22.561,21.587,21.3776,23.3452,21.095,20.0998,21.0,21.0238,20.0998,21.0,20.025,21.0238,21.0,20.025,20.0998,20.0998,19.0263,18.1108,18.0278,17.1172,17.2627,18.2483,16.1245,17.1172,16.1245,17.0294,0.0,16.0312,16.0,16.0312,16.0312,15.0,16.0312,15.0,16.0312,16.1245,15.2971,16.4924,15.2971,15.2971,16.4924,16.2788,15.8114,16.4924,15.8114,16.7631,16.7631,17.72,17.72
fall,6,-68,19.799,19.105,19.8494,21.4009,20.6155,20.0,19.4165,19.4165,19.7231,18.0278,20.5913,19.7231,19.7231,18.868,19.6977,19.2354,20.1246,16.5529,17.8885,17.4642,17.0,16.5529,16.5529,17.4642,16.5529,17.0,0.0,16.1245,16.1245,17.4929,16.6433,16.1245,15.8114,16.1245,15.0,15.0,14.8661,16.2788,14.8661,16.2788,15.6205,15.5563,16.9706,16.9706,16.2788,17.6918,16.4012,17.6918,16.9706
fall,6,-70,22.0227,22.0907,23.5372,23.3452,23.5372,22.3607,22.561,22.8035,20.6155,22.1359,21.8403,22.1359,21.5407,21.1896,19.3132,22.4722,20.2485,20.2485,19.3132,18.9737,19.3132,18.3848,17.4642,19.3132,18.3848,18.0278,0.0,17.72,18.9737,17.088,17.72,15.5242,17.4642,17.72,17.2627,17.2627,18.1108,18.1108,17.0294,17.1172,16.1245,18.0,17.0,18.0278,17.0,19.0,17.0294,18.0278,18.0278
fall,6,-70,18.6815,14.3178,17.4642,19.4165,13.3417,14.1421,16.0312,16.0312,17.0,18.0278,17.0294,17.0294,17.0294,16.0312,15.0333,16.0312,16.0,16.0,16.0,17.1172,18.0278,19.0263,16.0312,16.0,16.0,17.2627,0.0,17.1172,18.0,14.0357,13.0384,15.0333,16.0312,16.0312,12.0416,17.72,14.7648,14.8661,14.0,14.1421,15.0333,15.1327,17.4642,17.0,15.1327,16.2788,17.4642,16.2788,17.0294
fall,6,-70,20.8806,20.6155,20.3961,21.3776,22.2036,21.587,21.3776,22.2036,21.095,20.025,23.1948,22.0907,21.0238,22.0,21.0,21.0,22.0227,19.0,22.0227,21.0238,22.0,22.0227,20.0,21.0238,21.0,21.0238,0.0,20.0,21.0,21.0,20.0998,20.0,21.0238,21.0,21.0,21.0238,21.2132,22.3607,21.095,22.0907,22.2036,21.2132,23.1948,23.1948,23.3452,23.1948,21.3776,23.1948,24.0832
fall,6,-72,18.6011,17.8045,17.6918,18.4391,16.9706,17.6918,17.6918,16.2788,16.9706,17.6918,19.105,17.6918,16.9706,16.4012,16.2788,16.2788,17.6918,15.5563,15.5563,16.2788,16.9706,15.5563,15.5563,15.5563,16.2788,15.6205,0.0,14.2127,17.0294,16.2788,15.8114,17.6918,16.4012,17.0294,15.6205,16.6433,15.8114,17.4929,15.8114,16.6433,15.8114,18.3576,17.8885,18.0278,18.3576,17.8885,16.5529,17.8885,19.2354
fall,6,-73,17.0,16.1245,18.6011,16.6433,17.8045,16.6433,17.2047,16.6433,16.4012,17.0294,17.2047,16.9706,16.2788,17.0294,17.6918,17.8045,16.2788,16.4012,16.4012,16.2788,16.2788,16.2788,14.8661,16.2788,17.6918,16.4012,0.0,15.8114,15.6205,16.2788,15.8114,14.8661,16.4012,17.8045,16.4012,15.8114,16.6433,16.1245,18.0278,15.8114,17.2047,16.6433,18.3576,18.3576,17.8885,18.0278,19.7231,18.868,20.2485
fall,6,-71,19.6469,19.9249,19.9249,20.2485,20.2485,19.9249,21.1896,20.6155,19.3132,20.1246,20.1246,20.1246,19.2354,18.868,17.8885,19.6977,17.8885,18.3576,17.0,17.0,17.8885,18.3576,17.088,17.0,17.4929,16.5529,0.0,17.088,17.4642,18.3848,18.0278,16.1555,18.0278,17.088,14.8661,17.72,17.2627,17.2627,16.2788,16.2788,16.2788,17.1172,18.0278,19.4165,18.1108,18.1108,19.0,18.1108,19.2354
fall,6,-69,22.3607,22.8254,22.4722,23.8537,23.8537,21.6333,21.4009,21.4009,22.8035,20.6155,22.0227,21.2603,22.0227,22.6716,21.9317,21.9317,21.2603,19.105,19.8494,18.3848,19.105,19.105,17.6918,18.4391,19.105,19.8494,0.0,17.2047,18.6011,18.6011,17.0,17.2047,18.6011,17.2047,15.8114,17.4929,15.6525,17.8885,16.5529,16.5529,18.3848,17.088,18.7883,18.3848,18.9737,18.0278,17.72,18.0278,17.088
