label,timestamp,rssi,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48
normal,6,-75,25.9615,26.2488,25.7099,25.318,25.1794,25.318,25.1794,24.3311,24.0832,23.0,24.0,25.0,24.0208,23.0217,23.0,24.0,22.0,21.0,19.0263,21.0238,19.0263,19.0,19.0263,18.0,19.0263,18.0278,0.0,16.0312,15.0333,16.0312,15.1327,17.1172,15.1327,15.1327,12.3693,13.3417,13.0,13.6015,11.7047,11.4018,10.4403,12.083,11.1803,12.083,11.6619,11.6619,10.0,10.6301,11.4018
normal,6,-74,22.2036,22.2036,24.0832,24.0,23.0217,23.0,23.0,21.0238,22.0907,22.0227,23.0868,23.0868,24.1868,22.2036,20.2237,22.0907,21.2132,19.2354,19.4165,19.4165,18.2483,18.2483,16.2788,18.2483,17.2627,17.2627,0.0,16.1245,15.1327,16.0312,15.0333,15.0,15.0333,14.0357,14.0357,13.0,12.6491,12.3693,12.1655,13.6015,12.0416,11.4018,12.3693,10.7703,12.083,10.7703,9.434,11.1803,11.6619
normal,6,-76,26.4764,27.2947,27.4591,28.2843,27.074,26.0768,25.0799,26.0768,25.0799,25.0,25.02,24.0,26.0,25.02,25.02,23.0868,23.0,22.0227,24.0,22.0,19.0,22.0,19.0263,19.0,19.0,19.0263,0.0,18.2483,18.2483,15.0333,16.1245,17.1172,15.1327,15.1327,15.5242,14.0357,14.3178,14.3178,13.3417,11.4018,13.0,11.1803,13.0384,9.8489,10.8167,10.8167,9.2195,8.4853,9.2195
normal,6,-77,25.0799,23.8537,23.0217,25.2389,24.2074,23.6008,21.2603,22.8035,22.0227,21.4009,22.0227,22.6716,22.0227,21.9317,20.6155,20.5183,21.2603,18.3848,19.4165,17.6918,17.6918,18.6011,14.2127,16.4012,16.4012,17.2047,0.0,15.6525,16.1245,13.4164,12.53,12.083,12.6491,13.0,12.6491,10.4403,10.0499,8.2462,11.1803,10.0499,10.0499,10.0499,9.0554,9.0554,9.0,10.198,8.0623,7.2801,8.9443
normal,6,-77,26.6271,25.2389,25.5539,28.3019,27.4591,25.0599,27.7308,25.0799,25.5539,25.9422,21.5407,25.4951,23.4094,24.1661,21.9317,22.8473,22.3607,21.0238,21.1896,18.0278,18.3848,20.2485,19.3132,18.3848,18.7883,17.088,0.0,14.7648,16.1245,17.0,15.8114,14.7648,15.6525,13.4164,13.0384,10.0,9.8995,11.3137,11.3137,11.3137,11.4018,9.8995,10.8167,10.0,10.0,7.2111,8.544,7.6158,8.6023
normal,6,-77,63.0079,61.2944,72.5603,74.6726,71.7008,63.2851,68.4471,63.561,73.7564,69.2604,71.0634,77.4919,77.1298,70.5195,63.5689,74.4648,64.56,50.636,65.192,58.3095,54.4243,59.9083,46.4866,53.3667,63.3246,54.8179,0.0,55.109,54.7083,63.3877,46.5296,45.0111,57.0088,56.0892,40.1622,50.01,42.19,49.4975,36.1248,42.19,39.8121,44.4072,42.0,35.2278,37.0135,31.1448,30.5941,32.0156,33.2415
normal,6,-76,23.8537,24.4131,23.6008,25.4951,26.4008,24.8395,25.6125,24.2074,24.0832,24.8395,26.1725,25.4558,27.5862,24.8395,24.7588,26.1725,24.8395,22.6716,23.4307,22.8035,21.4009,22.0227,20.8087,20.6155,20.5183,23.4307,0.0,19.105,20.5183,19.8494,21.2603,17.8045,17.6918,18.3848,16.9706,18.4391,18.3576,18.6011,15.0,17.0294,15.8114,16.4012,15.6525,15.2643,15.6525,14.8661,13.4164,13.0,13.6015
normal,6,-69,25.632,25.632,26.9258,28.4605,26.2488,26.9258,28.1603,25.9615,26.6833,26.2488,30.0832,27.8927,28.6356,27.8927,26.9258,28.8617,28.4429,23.5372,26.4764,25.1794,24.5153,24.5153,21.8403,25.318,25.7099,25.4951,0.0,24.7386,24.7386,25.7099,24.3516,22.8035,22.8035,23.0868,22.1359,21.5407,20.3961,22.8035,20.2485,21.9317,20.2485,19.9249,23.4094,21.5407,19.6977,18.7883,17.8885,18.3848,19.6977
normal,6,-77,22.8473,25.632,26.9258,25.632,26.4008,24.1661,27.2947,26.8328,23.7065,28.3019,25.0599,25.2389,28.3019,25.2389,24.2074,23.8537,24.6982,23.6008,23.6008,25.2389,23.6008,22.2036,18.6011,21.4009,22.6716,21.4009,0.0,20.2485,21.095,21.095,17.0,16.6433,17.0,18.3576,15.2643,15.6525,18.7883,16.5529,15.8114,16.5529,14.7648,14.8661,14.3178,14.3178,13.9284,15.2971,13.0,11.1803,11.7047
normal,6,-78,20.6155,22.2036,24.3516,26.6833,21.587,22.8473,23.4094,24.6982,24.3516,23.4094,25.9422,24.1661,26.8328,24.5967,24.3516,25.4951,23.3238,21.0238,23.8537,22.8254,19.6977,21.0238,19.7231,19.7231,21.9545,21.4709,0.0,20.8806,19.6977,22.1359,18.0278,15.8114,15.8114,17.4642,16.4924,19.3132,19.3132,15.2971,15.2971,18.2483,17.0,13.1529,15.0333,14.1421,16.0312,15.0333,14.0,16.2788,13.3417
normal,6,-79,18.0278,19.6977,24.1661,20.6155,21.0238,20.6155,19.9249,20.1246,19.6977,18.0278,20.0,23.0217,19.7231,18.6011,21.6333,22.2036,19.8494,22.2036,17.8045,18.6011,21.2603,19.2094,19.2094,20.6155,19.799,20.8087,0.0,20.8087,18.4391,17.0294,17.8045,19.4165,18.3848,19.2094,18.7883,17.8045,16.6433,18.3576,18.6011,17.4929,18.6011,15.8114,19.4165,18.0278,18.7883,18.868,17.4642,17.0,17.0
